"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"0.8PF";"0.8PF";"CAP";"U$2";"";"";
"6";"02016D104KAT2A";"02016D104KAT2A";"0201";"C1, C2, C6, C7, C8, C9";"";"";
"1";"100OHMRC0402N-L";"100OHMRC0402N-L";"RES";"R6";"";"";
"1";"4.7µF";"4.7µF";"CAP";"U$1";"";"";
"1";"ADXL362";"ADXL362";"TFLGA-16/3.3MMX3.1MM";"ADXL";"IC ACCEL DIG LO PWR 3AX 16LGA";"";
"1";"ANTENNASMD";"ANTENNASMD";"1";"ANT1";"";"";
"1";"GRM0335C1E101JA01D";"GRM0335C1E101JA01D";"G-033";"C3";"";"";
"1";"INDUCTOR";"INDUCTOR";"1";"U$3";"";"";
"1";"NRF52832-CIAA-R";"NRF52832-CIAA-R";"BGA50N40P7X8_300X320X40";"NRF";"Multi Protocal Bluetooth Smart ANT 2.4GHz RF SoC (WL-CSP)";"";
"1";"SUPPLY";"SUPPLY";"SUPPLY";"U$4";"";"";
